token_norm,count,token_display
ansible (iac-подход,1,Ansible (Iac-Подход
linux (ubuntu,1,Linux (Ubuntu
go-to-market & pre-sales,1,Go-To-Market & Pre-Sales
sap material master data (mdm,1,Sap Material Master Data (Mdm
jira (tasks,1,Jira (Tasks
microsoft excel & office,1,Microsoft Excel & Office
test automation frameworks (c#,1,Test Automation Frameworks (C#
microservices & kafka testing,1,Microservices & Kafka Testing
databases (postgresql,1,Databases (Postgresql
security validation in tests (azure key vault,1,Security Validation In Tests (Azure Key Vault
java (6-21,1,Java (6-21
searchinform,1,Searchinform
bitrix24 (crm,1,Bitrix24 (Crm
nps,1,Nps
клиентскии сервис (csi,1,Клиентскии Сервис (Csi
digital sales strategy,1,Digital Sales Strategy
git bash,1,Git Bash
mathcad,1,Mathcad
matlab,1,Matlab
simulink,1,Simulink
sales logix,1,Sales Logix
microsoft dynamics,1,Microsoft Dynamics
digital & growth strategy,1,Digital & Growth Strategy
analytics & dashboards (google analytics,1,Analytics & Dashboards (Google Analytics
portfolio governance,1,Portfolio Governance
sap activate,1,Sap Activate
java (core) основы,1,Java (Core) Основы
google ai studio,1,Google Ai Studio
python основы,1,Python Основы
release & go-live management,1,Release & Go-Live Management
sap (fi,1,Sap (Fi
microsoft access,1,Microsoft Access
veeva vault platform,1,Veeva Vault Platform
product development systems,1,Product Development Systems
doxis,1,Doxis
diadoc,1,Diadoc
commercial contracts & negotiations,1,Commercial Contracts & Negotiations
docker-compose,1,Docker-Compose
ci/cd: gitlab ci,1,Ci/Cd: Gitlab Ci
мониторинг и логи: prometheus,1,Мониторинг И Логи: Prometheus
react hook form,1,React Hook Form
sap erp/srm,1,Sap Erp/Srm
bpmn,1,Bpmn
uml,1,Uml
user story,1,User Story
use case,1,Use Case
гост 34 (документация,1,гост 34 (документация
испытания,1,испытания
интеграции (rest api,1,Интеграции (Rest Api
linux (администрирование,1,Linux (Администрирование
ci/cd (gitlab ci,1,Ci/Cd (Gitlab Ci
crm (bitrix24,1,Crm (Bitrix24
industrial digital/automation,1,Industrial Digital/Automation
jira/confluence/yandex tracker,1,Jira/Confluence/Yandex Tracker
power bi/power apps,1,Power Bi/Power Apps
operating model & governance,1,Operating Model & Governance
google apps script,1,Google Apps Script
negotiation & stakeholder management,1,Negotiation & Stakeholder Management
ai agents & governed automation,1,Ai Agents & Governed Automation
api management & governance (google apigee,1,Api Management & Governance (Google Apigee
git (github,1,Git (Github
portfolio governance & decision rights,1,Portfolio Governance & Decision Rights
governance & operating models,1,Governance & Operating Models
aws organizations,1,Aws Organizations
sla и операционная поддержка,1,Sla И Операционная Поддержка
aws sso,1,Aws Sso
kubernetes (eks,1,Kubernetes (Eks
ci/cd (circleci,1,Ci/Cd (Circleci
sql (простые запросы,1,Sql (Простые Запросы
rest api,1,Rest Api
soapui,1,Soapui
json,1,Json
интеграции (rest/json,1,Интеграции (Rest/Json
soap/xml,1,Soap/Xml
управление стеикхолдерами,1,управление стеикхолдерами
rxjava,1,Rxjava
people management (acting tl,1,People Management (Acting Tl
gantpro,1,Gantpro
ms visio,1,Ms Visio
analytics (google analytics,1,Analytics (Google Analytics
google docs/drive,1,Google Docs/Drive
marketing analytics (google analytics,1,Marketing Analytics (Google Analytics
1c-bitrix,1,1C-Bitrix
c/c++ (c++14/17/20,1,C/C++ (C++14/17/20
qnx/linux,1,Qnx/Linux
falcongaze securetower,1,Falcongaze Securetower
hp alm,1,Hp Alm
zecurion dlp,1,Zecurion Dlp
бизнес-планирование и бюджетирование,1,бизнес-планирование и бюджетирование
sla/kpi governance & service reviews,1,Sla/Kpi Governance & Service Reviews
vendor management & contract negotiation,1,Vendor Management & Contract Negotiation
azure networking,1,Azure Networking
sdlc governance,1,Sdlc Governance
government,1,Government
стратегия и governance ниокр,1,Стратегия И Governance Ниокр
аналитика и презентации (excel,1,Аналитика И Презентации (Excel
проектныи менеджмент (pmbok,1,Проектныи Менеджмент (Pmbok
agile/scrum,1,Agile/Scrum
bim & digital twin,1,Bim & Digital Twin
dbrain,1,Dbrain
microsoft office (excel,1,Microsoft Office (Excel
1с: предприятие 8,1,1с: предприятие 8
linux (centos,1,Linux (Centos
almalinux,1,Almalinux
astralinux,1,Astralinux
sberlinux,1,Sberlinux
логирование (kafka,1,Логирование (Kafka
sap erp (fi/co,1,Sap Erp (Fi/Co
автоматизация: excel,1,Автоматизация: Excel
power bi report server,1,Power Bi Report Server
erp (1c,1,Erp (1C
sql for test validation,1,Sql For Test Validation
test management & governance,1,Test Management & Governance
figjam,1,Figjam
opensearch,1,Opensearch
grafana oncall,1,Grafana Oncall
bash,1,Bash
okr,1,Okr
pmo governance (raid/rag/psr/steerco,1,Pmo Governance (Raid/Rag/Psr/Steerco
aws codebuild,1,Aws Codebuild
oboard for jira,1,Oboard For Jira
technical: typescript,1,Technical: Typescript
net framework,1,Net Framework
net 6,1,Net 6
restful apis,1,Restful Apis
performance optimization,1,Performance Optimization
vue 2/3,1,Vue 2/3
excel (в т.ч. vba,1,Excel (В Т.Ч. Vba
yandex metrica,1,Yandex Metrica
firebase,1,Firebase
appmetrica,1,Appmetrica
sapr,1,Sapr
google sheets (сводные таблицы,1,Google Sheets (Сводные Таблицы
roadmaps & delivery governance,1,Roadmaps & Delivery Governance
sap integration,1,Sap Integration
google sheets/excel,1,Google Sheets/Excel
svn,1,Svn
appsflyer,1,Appsflyer
monday.com,1,Monday.Com
servicetitan,1,Servicetitan
housecallpro,1,Housecallpro
ai tools,1,Ai Tools
финансовое моделирование,1,финансовое моделирование
бюджетирование (операционныи бюджет,1,бюджетирование (операционныи бюджет
бюджет предоткрытия,1,бюджет предоткрытия
бренд-платформа и позиционирование,1,бренд-платформа и позиционирование
оптимизация и стандартизация процессов,1,оптимизация и стандартизация процессов
документооборот и договорная документация,1,документооборот и договорная документация
инструменты: azure devops,1,Инструменты: Azure Devops
sap fico (fi-gl,1,Sap Fico (Fi-Gl
cutover & go-live stabilization,1,Cutover & Go-Live Stabilization
sap query,1,Sap Query
bank payments (dmee,1,Bank Payments (Dmee
electronic bank statements (ebs,1,Electronic Bank Statements (Ebs
opentext vim,1,Opentext Vim
perforce,1,Perforce
basic c#,1,Basic C#
program/pmo governance,1,Program/Pmo Governance
visual scripting,1,Visual Scripting
erp transformation (sap s/4hana,1,Erp Transformation (Sap S/4Hana
vendor management & commercial negotiation,1,Vendor Management & Commercial Negotiation
enterprise architecture & erp governance,1,Enterprise Architecture & Erp Governance
data governance principles,1,Data Governance Principles
ai-enabled program governance (rag-based,1,Ai-Enabled Program Governance (Rag-Based
интеграции 1с:erp и sap erp/sap hybris,1,Интеграции 1С:Erp И Sap Erp/Sap Hybris
advanced excel (pivot tables,1,Advanced Excel (Pivot Tables
basic sql & python,1,Basic Sql & Python
vendor negotiation,1,Vendor Negotiation
supplier management & negotiation,1,Supplier Management & Negotiation
contract renegotiation,1,Contract Renegotiation
pricing & promotions (category,1,Pricing & Promotions (Category
автоматизация hr-процессов (bitrix24,1,Автоматизация Hr-Процессов (Bitrix24
кадровыи резерв кадровое делопроизводство и комплаенс автоматизация hr-процессов (bitrix24,1,Кадровыи Резерв Кадровое Делопроизводство И Комплаенс Автоматизация Hr-Процессов (Bitrix24
embedded c/c++,1,Embedded C/C++
linux (kernel,1,Linux (Kernel
unreal engine 5,1,Unreal Engine 5
unity,1,Unity
proprietary engines,1,Proprietary Engines
worksection,1,Worksection
oracle rdbms,1,Oracle Rdbms
kubernetes (k3s,1,Kubernetes (K3S
adobe after effects,1,Adobe After Effects
